name,new_name
Bury,Greater Manchester
Manchester,Greater Manchester
Oldham,Greater Manchester
Rochdale,Greater Manchester
Salford,Greater Manchester
Stockport,Greater Manchester
Tameside,Greater Manchester
Trafford,Greater Manchester
Wigan,Greater Manchester
Knowsley,Merseyside
Liverpool,Merseyside
St. Helens,Merseyside
Sefton,Merseyside
Wirral,Merseyside
Barnsley,South Yorkshire
Doncaster,South Yorkshire
Rotherham,South Yorkshire
Sheffield,South Yorkshire
Newcastle Upon Tyne,Tyne And Wear
North Tyneside,Tyne And Wear
South Tyneside,Tyne And Wear
Sunderland,Tyne And Wear
Birmingham,West Midlands
Coventry,West Midlands
Dudley,West Midlands
Sandwell,West Midlands
Solihull,West Midlands
Walsall,West Midlands
Wolverhampton,West Midlands
Bradford,West Yorkshire
Nottingham,Nottinghamshire
Telford And Wrekin,Shropshire
Bournemouth,Dorset
Poole,Dorset
Calderdale,West Yorkshire
Kirklees,West Yorkshire
Leeds,West Yorkshire
Wakefield,West Yorkshire
Gateshead,Tyne And Wear
Greenwich,Greater London
Isles Of Scilly,Cornwall
Bolton,Greater Manchester
City Of London,Greater London
Barking And Dagenham,Greater London
Barnet,Greater London
Bexley,Greater London
Camden,Greater London
Croydon,Greater London
Ealing,Greater London
Brent,Greater London
Bromley,Greater London
Enfield,Greater London
Hackney,Greater London
Rhondda Cynon Taf,Vale Of Glamorgan
Torfaen,Blaenau Gwent
Hammersmith And Fulham,Greater London
Haringey,Greater London
Harrow,Greater London
Havering,Greater London
Hillingdon,Greater London
Hounslow,Greater London
Islington,Greater London
Kensington And Chelsea,Greater London
Kingston Upon Thames,Greater London
Lambeth,Greater London
Lewisham,Greater London
Merton,Greater London
Newham,Greater London
Redbridge,Greater London
Richmond Upon Thames,Greater London
Southwark,Greater London
Sutton,Greater London
Tower Hamlets,Greater London
Waltham Forest,Greater London
Wandsworth,Greater London
Westminster,Greater London
Conwy,Gwynedd
Neath Port Talbot,Vale Of Glamorgan
Tyrone,Mid Ulster
Antrim,Mid And East Antrim
Fermanagh,Fermanagh And Omagh
Down,Ards And North Down
